"Path","ServiceImport","DirectPrisma"
"D:\code\React\ERP\erp-nodejs\app\api\hr\shifts\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\inventory\attributes\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\inventory\attributes\[id]\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\inventory\batches\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\inventory\batches\adjust\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\inventory\categories\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\inventory\cycle-counts\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\inventory\cycle-counts\[id]\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\inventory\dashboard\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\inventory\items\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\inventory\items\import\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\inventory\items\[id]\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\inventory\items\[id]\variants\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\inventory\items\[id]\variants\[variantId]\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\inventory\serial-numbers\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\inventory\serial-numbers\[id]\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\inventory\stock\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\inventory\transfers\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\inventory\transfers\[id]\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\inventory\uom\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\inventory\valuation\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\inventory\warehouses\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\inventory\warehouses\[id]\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\notifications\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\notifications\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\payments\stripe\create-intent\route.ts","N","N"
"D:\code\React\ERP\erp-nodejs\app\api\payments\stripe\webhook\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\portal\auth\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\portal\customer\invoices\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\portal\customer\orders\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\portal\supplier\orders\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\portal\supplier\rfqs\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\portal\users\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\portal\users\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\procurement\approvals\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\procurement\dashboard\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\procurement\grns\route.ts","Y","Y"
"D:\code\React\ERP\erp-nodejs\app\api\procurement\grns\analytics\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\procurement\grns\[id]\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\procurement\purchase-orders\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\procurement\purchase-orders\[id]\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\procurement\purchase-requests\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\procurement\purchase-requests\[id]\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\procurement\purchase-returns\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\procurement\purchase-returns\[id]\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\procurement\reports\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\procurement\rfqs\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\procurement\rfqs\[id]\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\procurement\supplier-contacts\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\procurement\supplier-contacts\[id]\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\procurement\supplier-quotations\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\procurement\supplier-quotations\[id]\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\procurement\supplier-ratings\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\procurement\supplier-ratings\[id]\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\procurement\vendor-invoices\route.ts","Y","Y"
